latitud,longitud,nombre,contacto
6.262323931,-75.5772857,universdidad nacional sede medellin,
6.244787762,-75.56963063,Asanso,ASANSO – Asociación Antioqueña de Personas Sordas
3.377404599,-76.53451539,universidad del valle,http://www.univalle.edu.co/
6.242579294,-75.5894551,UPB,https://www.upb.edu.co/
4.658451223,-74.05919034,Universidad pedagogica nacional,https://www.upn.edu.co/
4.637546666,-74.07121319,Universidad ECCI,https://www.ecci.edu.co/
6.281130749,-75.58316908,tecnologico de antioquia,http://www.tdea.edu.co/
6.267843876,-75.56877723,Universidad de Antioquia,http://www.udea.edu.co/
4.787034674,-73.87341834,FENASCOL,https://www.fenascol.org.co/
4.77269981,-74.2486196,fundacionensenas,Fundacion ensenas lsc
8.767884903,-75.88468064,Universidad del Sinú,http://www.unisinu.edu.co/
